CODECODE,国民经济行业类型,等级
C030,非金属矿物制品业,2
C0301,水泥、石灰和石膏制造,3
C03011,水泥制造,4
C03012,石灰和石膏制造,4
C0302,石膏、水泥制品及类似制品制造,3
C03021,水泥制品制造,4
C03022,砼结构构件制造,4
C03023,石棉水泥制品制造,4
C03024,轻质建筑材料制造,4
C03029,其他水泥类似制品制造,4
C0303,砖瓦、石材等建筑材料制造,3
C03031,粘土砖瓦及建筑砌块制造,4
C03032,建筑用石加工,4
C03033,防水建筑材料制造,4
C03034,隔热和隔音材料制造,4
C03039,其他建筑材料制造,4
C0304,玻璃制造,3
C03041,平板玻璃制造,4
C03042,特种玻璃制造,4
C03049,其他玻璃制造,4
C0305,玻璃制品制造,3
C03051,技术玻璃制品制造,4
C03052,光学玻璃制造,4
C03053,玻璃仪器制造,4
C03054,日用玻璃制品制造,4
C03055,玻璃包装容器制造,4
C03056,玻璃保温容器制造,4
C03057,制镜及类似品加工,4
C03059,其他玻璃制品制造,4
C0306,玻璃纤维和玻璃纤维增强塑料制品制造,3
C03061,玻璃纤维及制品制造,4
C03062,玻璃纤维增强塑料制品制造,4
C0307,陶瓷制品制造,3
C03071,建筑陶瓷制品制造,4
C03072,卫生陶瓷制品制造,4
C03073,特种陶瓷制品制造,4
C03074,曰用陶瓷制品制造,4
C03075,陈设艺术陶瓷制造,4
C03076,园艺陶瓷制造,4
C03079,其他陶瓷制品制造,4
C0308,耐火材料制品制造,3
C03081,石棉制品制造,4
C03082,云母制品制造,4
C03089,耐火陶瓷制品及其他耐火材料 制造,4
C0309,石墨及其他非金属矿物制品制造,3
C03091,石墨及碳素制品制造,4
C03099,其他非金属矿物制品制造,4
C031,黑色金属冶炼和压延加工业,2
C0311,炼铁,3
C0312,炼钢,3
C0313,钢压延加工,3
C0314,铁合金冶炼,3
C032,有色金属冶炼和压延加工业,2
C0321,常用有色金属冶炼,3
C03211,铜冶炼,4
C03212,铅锌冶炼,4
C03213,镍钴冶炼,4
C03214,锡冶炼,4
C03215,镑冶炼,4
C03216,错冶炼,4
C03217,镁冶炼,4
C03218,硅冶炼,4
C03219,其他常用有色金属冶炼,4
C0322,贵金属冶炼,3
C03221,金冶炼,4
C03222,银冶炼,4
C03229,其他贵金属冶炼,4
C0323,稀有稀土金属冶炼,3
C03231,鹤钼冶炼,4
C03232,稀土金属冶炼,4
C03239,其他稀有金属冶炼,4
